italian,dante
"Escludi stricca, che seppe fare spese moderate, e niccolò che per primo scoprì l'uso costoso dei chiodi di garofano nell'orto dove questo seme attecchisce","Tra’mene stricca che seppe far le temperate spese, e niccolò che la costuma ricca del garofano prima discoverse ne l’orto dove tal seme s’appicca"
"Ed escludi la brigata nella quale caccia d'asciano dissipò la vigna e i vasti poderi, e in cui l'abbagliato dimostrò il suo senno","E tra’ne la brigata in che disperse caccia d’ascian la vigna e la gran fonda, e l’abbagliato suo senno proferse"
"Ma affinché tu sappia chi ti asseconda così sui senesi, aguzza gli occhi verso di me, così che tu riconosca il mio volto:allora vedrai che sono l'anima di capocchio, che falsificai i metalli con l'alchimia","Ma perché sappi chi sì ti seconda contra i sanesi, aguzza ver me l’occhio, sì che la faccia mia ben ti risponda: sì vedrai ch’io son l’ombra di capocchio, che falsai li metalli con l’alchìmia"
"E ti devi ricordare, se ben ti riconosco, come io fui buon imitatore della natura","E te dee ricordar, se ben t’adocchio,  com’io fui di natura buona scimia"
"Nel tempo in cui giunone era adirata contro la stirpe tebana a causa di semele, come dimostrò in due occasioni, atamante divenne a tal punto pazzo che, vedendo la moglie che andava tenendo in braccio i due figli, uno per parte, gridò:","Nel tempo che iunone era crucciata per semelè contra ’l sangue tebano, come mostrò una e altra fiata, atamante divenne tanto insano, che veggendo la moglie con due figli andar carcata da ciascuna mano, gridò:"
"Tendiamo le reti, così che io possa catturare la leonessa e i leoncini","Tendiam le reti, sì ch’io pigli la leonessa e ’ leoncini al varco"
"E poi protese gli artigli spietati,prendendo uno dei due che si chiamava learco, e lo fece roteare in aria e lo scaraventò contro un sasso","E poi distese i dispietati artigli, prendendo l’un ch’avea nome learco, e rotollo e percosselo ad un sasso"
Lei si annegò tenendo l'altro figlio,E quella s’annegò con l’altro carco
"E quanto il destino abbatté l'altezza dei troiani che ambiva a qualunque cosa, così che il regno fu distrutto e il re ucciso, ecuba dopo aver visto che polissena era stata uccisa e si fu accorta con dolore della morte di polidoro in riva al mare, si mise a latrare come un cane, fuori di sé","E quando la fortuna volse in basso l’altezza de’ troian che tutto ardiva, sì che ’nsieme col regno il re fu casso, ecuba trista, misera e cattiva, poscia che vide polissena morta, e del suo polidoro in su la riva del mar si fu la dolorosa accorta, forsennata latrò sì come cane"
A tal punto il dolore le sconvolse la mente,Tanto il dolor le fé la mente torta
"Ma non si videro mai le furie dei tebani, né quelle dei troiani tanto crudeli contro qualcuno, né pungolare bestie oppure esseri umani, quanto io vidi fare in due anime pallide e nude che correvano mordendo come il maiale quando esce affamato dal porcile","Ma né di tebe furie né troiane si vider mai in alcun tanto crude, non punger bestie, nonché membra umane, quant’io vidi in due ombre smorte e nude, che mordendo correvan di quel modo che ’l porco quando del porcil si schiude"
"Una di esse si avventò su capocchio e lo azzannò alla nuca, così che, trascinandolo via, gli fece grattare con la pancia il suolo roccioso della bolgia","L’una giunse a capocchio, e in sul nodo del collo l’assannò, sì che, tirando, grattar li fece il ventre al fondo sodo"
"E griffolino d'arezzo, che rimase lì tremante, mi disse:","E l’aretin che rimase, tremando mi disse:"
"Quel folletto è gianni schicchi e, pieno di rabbia, va conciando così gli altri dannati","Quel folletto è gianni schicchi, e va rabbioso altrui così conciando"
Gli risposi:,Diss’io lui:
"Oh, ti auguro che l'altra anima non riesca ad addentarti: non ti spiaccia dirmi chi è, prima che fugga via di qui","Oh, se l’altro non ti ficchi li denti a dosso, non ti sia fatica a dir chi è, pria che di qui si spicchi"
E lui a me:,Ed elli a me:
"Quella è l'anima antica della scellerata mirra, che si innamorò del proprio padre contrariamente a ogni legge morale","Quell’è l’anima antica di mirra scellerata, che divenne al padre fuor del dritto amore amica"
"Questa riuscì a compiere adulterio con lui, fingendosi un'altra persona, come l'altro che se ne va via riuscì a spacciarsi per buoso donati, al fine di ottenere la regina dell'armento, e a falsificare il testamento per poi registrarlo regolarmente","Questa a peccar con esso così venne, falsificando sé in altrui forma, come l’altro che là sen va, sostenne, per guadagnar la donna de la torma, falsificare in sé buoso donati, testando e dando al testamento norma"
"E dopo che i due rabbiosi sui quali avevo tenuto gli occhi se ne furono andati, rivolsi lo sguardo sugli altri peccatori","E poi che i due rabbiosi fuor passati sovra cu’ io avea l’occhio tenuto, rivolsilo a guardar li altri mal nati"
"Io ne vidi uno che sarebbe stato uguale a un liuto, se solo l'inguine fosse stato separato dalle due gambe","Io vidi un, fatto a guisa di leuto, pur ch’elli avesse avuta l’anguinaia tronca da l’altro che l’uomo ha forcuto"
"La grave idropisia, che a causa della linfa smaltita male deforma a tal punto le membra che il viso è assai più magro dal ventre, lo spingeva a tenere le labbra aperte come fa il tisico, che per la sete tiene il labbro superiore in alto e quello inferiore verso il mento","La grave idropesì, che sì dispaia le membra con l’omor che mal converte, che ’l viso non risponde a la ventraia, facea lui tener le labbra aperte come l’etico fa, che per la sete l’un verso ’l mento e l’altro in sù rinverte"
"O voi che siete privi di pena all'inferno, e non so il perché","O voi che sanz’alcuna pena siete, e non so io perché, nel mondo gramo"
Egli ci disse:,Diss’elli a noi:
"Guardate con attenzione alla misera sorte di mastro adamo: io in vita fui nell'abbondanza e ora, ahimè","Guardate e attendete a la miseria del maestro adamo: io ebbi vivo assai di quel ch’i’ volli, e ora, lasso"
Desidero vanamente un goccio d'acqua,Un gocciol d’acqua bramo
"I ruscelli che scendono dalle verdi colline del casentino verso l'arno, facendo i loro letti freschi e bagnati, mi stanno sempre davanti agli occhi e non per niente, poiché la loro immagine mi asciuga molto più del male per cui ho il volto scavato","Li ruscelletti che d’i verdi colli del casentin discendon giuso in arno, faccendo i lor canali freddi e molli, sempre mi stanno innanzi, e non indarno, ché l’imagine lor vie più m’asciuga che ’l male ond’io nel volto mi discarno"
La dura giustizia divina che mi tormenta sfrutta il luogo dove peccai per farmi sospirare ancora di più,La rigida giustizia che mi fruga tragge cagion del loco ov’io peccai a metter più li miei sospiri in fuga
"Laggiù sorge il castello di romena, dove io falsificai il fiorino","Ivi è romena, là dov’io falsai la lega suggellata del batista"
Per questo fui arso vivo,Per ch’io il corpo sù arso lasciai
"Ma se io vedessi qui l'anima malvagia di guido, di alessandro o di loro fratello, in cambio rinuncerei a bere dalla fonte branda","Ma s’io vedessi qui l’anima trista di guido o d’alessandro o di lor frate, per fonte branda non darei la vista"
"Uno di loro dovrebbe essere già qui, se le anime arrabbiate che girano intorno dicono il vero","Dentro c’è l’una già, se l’arrabbiate ombre che vanno intorno dicon vero"
"Ma a che mi serve, dal momento che non posso muovermi","Ma che mi val, c’ho le membra legate"
"Se fossi ancora tanto agile da poter percorrere un'oncia in cent'anni, io mi sarei già messo in cammino,cercandolo in mezzo a questi dannati deturpati dalle malattie, anche se la bolgia ha una circonferenza di undici miglia e una larghezza non inferiore al mezzo miglio","S’io fossi pur di tanto ancor leggero ch’i’ potessi in cent’anni andare un’oncia, io sarei messo già per lo sentiero, cercando lui tra questa gente sconcia, con tutto ch’ella volge undici miglia, e men d’un mezzo di traverso non ci ha"
Io sono qui a causa loro: essi mi spinsero a coniare i fiorini che avevano tre carati di metallo vile,Io son per lor tra sì fatta famiglia: e’ m’indussero a batter li fiorini ch’avevan tre carati di mondiglia
E io a lui:,E io a lui:
"Chi sono i due miseri che fumano come le mani bagnate d'inverno, e che giacciono stretti alla tua destra","Chi son li due tapini che fumman come man bagnate ’l verno, giacendo stretti a’ tuoi destri confini"
Rispose:,Rispuose:
"Li trovai qui quando caddi in questo dirupo, e da allora non si sono più mossi, né credo che si muoveranno mai più","Qui li trovai, e poi volta non dierno, quando piovvi in questo greppo, e non credo che dieno in sempiterno"
Una è la bugiarda che accusò a torto giuseppe,L’una è la falsa ch’accusò gioseppo
"L'altro è il falso sinone, il greco di troia: soffrono di febbre acuta ed emettono questo puzzo di grasso bruciato",L’altr’è ’l falso sinon greco di troia: per febbre aguta gittan tanto leppo
"E uno di loro, che forse fu infastidito di essere nominato in modo così offensivo, gli colpì con un pugno il ventre teso","E l’un di lor, che si recò a noia forse d’esser nomato sì oscuro, col pugno li percosse l’epa croia"
Quello risuonò come fosse un tamburo,Quella sonò come fosse un tamburo
"E mastro adamo gli colpì il volto col braccio, in modo non meno violento,dicendogli:","E mastro adamo li percosse il volto col braccio suo, che non parve men duro, dicendo a lui:"
"Anche se mi è precluso ogni movimento per le gambe appesantite, ho ancora le braccia agili per colpire","Ancor che mi sia tolto lo muover per le membra che son gravi, ho io il braccio a tal mestiere sciolto"
Allora l'altro rispose:,Ond’ei rispuose:
"Quando tu andavi al rogo, non eri altrettanto agile","Quando tu andavi al fuoco, non l’avei tu così presto"
Invece muovevi bene le braccia quando falsificavi le monete,Ma sì e più l’avei quando coniavi
E l'idropico:,E l’idropico:
"Tu dici il vero, su questo: ma non fosti certo un testimone sincero quando a troia ti fu chiesta la verità",Tu di’ ver di questo: ma tu non fosti sì ver testimonio là ’ve del ver fosti a troia richesto
Sinone disse:,Disse sinon:
"Se io dissi il falso, tu falsificasti il conio","S’io dissi falso, e tu falsasti il conio"
"E io sono qui per un solo peccato, tu invece per un numero maggiore di ogni altro dannato","E son qui per un fallo, e tu per più ch’alcun altro demonio"
Quello che aveva la pancia gonfia rispose:,Rispuose quel ch’avea infiata l’epa:
"Ricordati, spergiuro, del cavallo, e sia per te un tormento il fatto che lo sappia tutto il mondo","Ricorditi, spergiuro, del cavallo e sieti reo che tutto il mondo sallo"
Il greco disse:,"Disse ’l greco,"
"A te sia un tormento la sete per cui ti si crepa la lingua, e l'acqua marcia che ti fa gonfiare a tal punto il ventre davanti agli occhi","E te sia rea la sete onde ti crepa la lingua, e l’acqua marcia che ’l ventre innanzi a li occhi sì t’assiepa"
Allora il monetiere:,Allora il monetier:
"Allo stesso modo la tua bocca si fa a pezzi per il tuo male, come al solito",Così si squarcia la bocca tua per tuo mal come suole
"Infatti io ho sete e l'acqua mi fa gonfiare, ma tu hai l'arsura e il capo che ti duole, e per leccare poche gocce d'acqua non avresti bisogno di tanti inviti","Ché s’i’ ho sete e omor mi rinfarcia, tu hai l’arsura e ’l capo che ti duole, e per leccar lo specchio di narcisso, non vorresti a ’nvitar molte parole"
"Io ero tutto attento ad ascoltarli, quando il maestro mi disse:","Ad ascoltarli er’io del tutto fisso, quando ’l maestro mi disse:"
"Continua pure a guardare, che manca poco che io non litighi con te","Or pur mira, che per poco che teco non mi risso"
"Quando io lo sentii parlarmi con ira, mi voltai verso di lui con una tale vergogna che è presente ancora nella mia mente","Quand’io ’l senti’ a me parlar con ira, volsimi verso lui con tal vergogna, ch’ancor per la memoria mi si gira"
"Come colui che sogna il suo danno, e sognando vorrebbe sognare, così che desidera ciò che è vero come se non lo fosse,così feci io, non osando parlare, poiché volevo scusarmi e, pur non credendo di farlo, lo stavo comunque facendo","Qual è colui che suo dannaggio sogna, che sognando desidera sognare, sì che quel ch’è, come non fosse, agogna, tal mi fec’io, non possendo parlare, che disiava scusarmi, e scusava me tuttavia, e nol mi credea fare"
Il maestro disse:,Disse ’l maestro:
Una vergogna minore lava una colpa più grave di quanto non sia stata la tua,Maggior difetto men vergogna lava che ’l tuo non è stato
Quindi abbandona ogni tristezza,Però d’ogne trestizia ti disgrava
"E sii certo che io ti sarò sempre al fianco, se mai avverrà ancora che il destino ti conduca dove ci siano genti che litigano in questo modo: infatti, voler ascoltare certe risse è volontà vile","E fa ragion ch’io ti sia sempre allato, se più avvien che fortuna t’accoglia dove sien genti in simigliante piato:  ché voler ciò udire è bassa voglia"
